label,weight,height
2478,134.0,64.0
2479,108.5,64.0
2480,190.0,72.0
2484,156.5,59.5
2485,129.0,62.0
2486,123.0,64.0
2487,158.0,65.0
2490,125.5,63.0
2491,142.0,61.0
2492,88.0,69.0
2493,76.5,52.0
2495,165.0,68.0
2497,110.5,60.0
2498,125.0,65.25
2499,128.0,65.0
2502,182.0,67.0
2503,175.0,69.0
2506,192.5,68.0
2507,125.0,63.0
2508,164.5,65.0
2510,195.0,66.25
2511,198.0,69.0
2512,161.0,69.0
2514,219.0,75.0
2516,174.51,70.0
2517,140.0,65.0
2518,120.5,64.0
2519,110.0,59.0
2520,246.0,73.0
2521,170.5,63.5
2525,170.5,72.0
2526,140.0,64.0
2527,168.0,70.0
2528,142.5,66.5
2530,129.0,63.0
2531,195.0,76.0
2532,153.5,65.0
2533,132.5,69.0
2537,196.0,72.0
2539,180.0,72.0
2541,138.0,68.0
2542,164.5,65.5
2544,108.0,64.0
2545,70.5,56.0
2546,130.0,63.5
2547,133.5,64.5
2549,108.0,64.0
2550,110.0,66.0
2551,126.0,64.0
2555,180.0,69.0
2556,124.5,68.0
2557,116.5,64.0
2558,136.0,60.0
2560,127.5,66.0
2561,129.0,65.0
2564,148.0,66.0
2565,158.5,65.0
2566,106.0,63.0
2568,162.0,70.0
2572,142.0,63.0
2574,143.0,66.0
2575,114.0,60.0
2576,148.0,64.0
2577,146.0,67.0
2578,120.0,65.0
2579,163.0,69.0
2581,130.0,61.5
2586,48.0,51.0
2587,171.0,67.0
2588,119.0,63.0
2589,121.0,63.0
2590,164.0,66.0
2591,166.0,68.0
2592,143.0,67.0
2594,151.0,65.0
2595,155.0,70.0
2596,140.0,66.0
2597,136.5,63.0
2598,65.0,55.0
2599,167.5,63.0
2600,122.5,65.0
2601,113.0,62.0
2605,107.5,67.0
2606,149.0,62.0
2607,120.0,65.0
2608,146.0,65.0
2609,192.0,69.5
2610,189.0,65.0
2611,187.0,73.0
2615,224.0,71.0
2617,155.0,64.0
2620,229.5,71.0
2621,166.5,63.0
2622,139.0,69.0
2625,89.0,58.0
2627,179.0,68.0
2628,119.0,62.0
2629,139.0,60.0
2630,196.0,68.0
